區域別,性別,總計
保順里,女,5861
總計,女,108501
義民里,女,631
禮門里,女,594
智慧里,女,2560
信望里,女,146
橋東里,女,2149
秀峰里,女,2655
新昌里,女,3022
復興里,女,4008
茄苳里,女,2580
長安里,女,836
保安里,女,818
保長里,女,2535
鄉長里,女,1129
江北里,女,3148
拱北里,女,2613
烘內里,女,749
八連里,女,489
樟樹里,女,1023
北峰里,女,2618
北山里,女,3100
白雲里,女,2490
橫科里,女,2350
東山里,女,302
福山里,女,2016
宜興里,女,1546
中興里,女,3991
湖光里,女,3429
仁德里,女,938
厚德里,女,3980
忠孝里,女,4481
自強里,女,3319
文化里,女,2598
金龍里,女,2933
福德里,女,1887
興福里,女,1807
康福里,女,2978
忠山里,女,1763
環河里,女,567
東勢里,女,2692
山光里,女,1751
大同里,女,1576
崇德里,女,2695
湖興里,女,3456
長青里,女,527
福安里,女,3711
秀山里,女,2575
建成里,女,2937
城中里,女,2565
湖蓮里,女,1686
保新里,女,1552
總計,女,218358
海山里,女,2797
頭前里,女,6084
國泰里,女,663
全安里,女,2371
福基里,女,3191
豐年里,女,1841
忠孝里,女,2673
恆安里,女,2295
後港里,女,3628
文衡里,女,1133
中美里,女,3300
八德里,女,1612
興漢里,女,1711
中和里,女,2302
西盛里,女,7226
榮和里,女,2519
中泰里,女,2214
瓊林里,女,2532
文德里,女,923
中誠里,女,1070
裕民里,女,3605
文明里,女,884
中港里,女,3387
富國里,女,1138
思源里,女,2791
立人里,女,1104
南港里,女,2660
仁愛里,女,1332
立德里,女,1268
信義里,女,2752
立言里,女,2544
民安里,女,3202
和平里,女,2420
立功里,女,1832
民本里,女,1497
化成里,女,2106
立志里,女,1980
光華里,女,3750
思賢里,女,2154
營盤里,女,815
光榮里,女,2416
自強里,女,1266
丹鳳里,女,4806
光明里,女,2623
自立里,女,2750
合鳳里,女,2351
幸福里,女,2209
雙鳳里,女,6522
自信里,女,1279
龍鳳里,女,5859
中華里,女,1480
中隆里,女,3512
中原里,女,8453
中信里,女,4712
四維里,女,2439
建福里,女,1235
中宏里,女,1877
中全里,女,1703
立泰里,女,2813
全泰里,女,2549
仁義里,女,1807
立基里,女,3121
昌明里,女,1786
昌平里,女,5651
文聖里,女,1987
萬安里,女,1959
龍安里,女,1173
福營里,女,1142
後德里,女,1494
建安里,女,3563
成德里,女,2637
福興里,女,3123
昌信里,女,2015
昌隆里,女,2317
中平里,女,5578
立廷里,女,7235
泰豐里,女,1334
富民里,女,2022
龍福里,女,1161
祥鳳里,女,1268
民全里,女,1926
民有里,女,2092
光正里,女,2366
光和里,女,1441
總計,女,10191
和平里,女,218
大同里,女,373
豐漁里,女,261
磺港里,女,872
美田里,女,2310
五湖里,女,882
